Id,Description
1,agile process
2,case study
3,collaborative learning
4,comprehensive distance learning
5,discussion
6,educational support tool
7,example-based learning
8,experiential learning
9,feedback session
10,labs
11,lecture
12,mentor
13,personalized learning
14,problem-based learning
15,project-based learning
